Distrikt,Adresse,Type,Tømningshyppighed,Placering,Andet,northing,easting
Vest,Tilst Skolevej 17A,Holcher,2 gange,på stander,før busstop,56.18556,10.10463
Vest,Langkærparken Torv,Holcher,2 gange,ved busskur,,56.18779,10.10383
Vest,Tilst Skolevej o.f.nr. 16,RM 70,1 gang,ved busstop,før skole,56.18872,10.10918
Vest,Tilst Skolevej 10,RM 512,2 gange,ved busstop,,56.19017,10.11185
Vest,Havkærvej /Tåstumvænget 2,Holcher,2 gange,ved busstop,,56.19039,10.11384
Vest,Havkærvej 42,Holcher,2 gange,ved busstop,,56.18825,10.11916
Vest,Havkærvej 53,Holcher,2 gange,ved busstop,,56.18877,10.11851
Vest,Havkærvej / Havkærparken,Holcher,2 gange,ved busstop,,56.18724,10.12052
Vest,Havkærvej 76,Holcher,2 gange,ved busstop,,56.18513,10.12281
Vest,"Havkærvej 1, v/ lokalcentret",Holcher,1 gang,ved busstop,,56.19148,10.11103
Vest,Tilst Vestervej 2,Holcher,1 gang,bus endestation,,56.19435,10.10782
Vest,Tilst Vestervej v/Græsvangen,Holcher,1 gang,ved busstop,,56.19204,10.09766
Vest,Tilst Vestervej o.f. 41,lille med huller,1 gang,ved busstop,,56.18927,10.09157
Vest,Bysmedevej 61,RM 70,2 gange,ved gadekæret,,56.19208,10.11352
Vest,overfor Rætebølvej 24,RM 30,1 gang,på stander,,56.16798,10.06206
Vest,Nordborggade / Augustenborggade,Holcher,3 gange,ved busstop,,56.14634,10.18429
Vest,Augustenborggade / Langenæssti,Holcher,3 gange,ved busstop,,56.14579,10.18277
Vest,Byleddet 26,Holcher,2 gange,ved buslomme,,56.14997,10.08939
Vest,Ormslevvej 457,lille med huller,2 gange,ved busstop,,56.12488,10.05949
Vest,Grundtvigsvej 16,Holcher,2 gange,ved busstop,,56.12971,10.16745
Vest,Grundtvigsvej / Øster Allé,lille med huller,2 gange,ved bæmk,,56.13006,10.17141
Vest,Vilhelm Becks Vej / Chr. Xs Vej,Holcher,2 gange,ved busstop,overfor nr. 96,56.13035,10.17468
Vest,Vilhelm Becks Vej 49,Holcher,2 gange,ved busstop,Rosenvangsskolen,56.13162,10.18308
Vest,Vilhelm Bechs Vej 5,Holcher,2 gange,ved busstop,,56.13248,10.18851
Vest,Vilhelm Bechs Vej 8,Holcher,2 gange,ved busstop,,56.13261,10.18857
Vest,Vilhelm Bechs Vej 50,Holcher,2 gange,ved busstop,,56.13164,10.18244
Vest,Rosenvangs Allé 45,Holcher,2 gange,ved busstop,,56.13173,10.18115
Vest,H.C. Ørsteds Vej 7 A,Holcher,2 gange,ved busstop,,56.13315,10.18074
Vest,Carl Jensens Vej 3 / Magnoliavej,Holcher,2 gange,ved busstop,,56.13600,10.18887
Vest,Carl Jensens Vej 2,Holcher,2 gange,ved busstop,,56.13614,10.18894
Vest,Carl Jensens Vej 22,Holcher,2 gange,ved busstop,,56.13485,10.18541
Vest,H.C. Ørsteds Vej / Kastanievej,Holcher,2 gange,ved busstop,,56.13359,10.18270
Vest,Rosenvangs Allé 42,Holcher,2 gange,ved busstop,,56.13291,10.18022
Vest,Rosenvangs Allé / Niels Bohrs Vej,RM 30,2 gange,på skilt,,56.13201,10.18078
Vest,Vilhelm Bechs Vej 60,Holcher,2 gange,ved busstop,,56.13130,10.18024
Vest,Vilhelm Bechs Vej 92 / Edisonsvej,Holcher,2 gange,ved busstop,,56.13054,10.17525
Vest,Skanderborgvej 167,Holcher,2 gange,ved busstop,,56.13107,10.16674
Vest,Skanderborgvej / Brorsonsvej,Holcher,2 gange,ved busstop,,56.13312,10.16985
Vest,Skanderborgvej / Øster Allé,Holcher,2 gange,ved busstop,,56.13493,10.17300
Vest,Skanderborgvej 123,Holcher,2 gange,ved busstop,ved Shell,56.13745,10.17775
Vest,Skanderborgvej 106,Holcher,2 gange,ved busstop,,56.13853,10.17905
Vest,Skanderborgvej / Chr. X's Vej,Holcher,2 gange,ved busstop,,56.13699,10.17597
Vest,Skanderborgvej / Bygholms Allé,Holcher,2 gange,ved busstop,,56.13478,10.17192
Vest,Skanderborgvej / Krabbesholms Allé,Holcher,2 gange,ved busstop,,56.13278,10.16857
Vest,Skanderborgvej 168,Holcher,2 gange,ved busstop,,56.13086,10.16565
Vest,Tomsagervej 18,RM 30,2 gange,på stander - vest,trappenedgang til sti,56.14417,10.15716
Vest,Tomsagervej 18,RM 30,2 gange,på stander - øst,trappenedgang til sti,56.14416,10.15724
Vest,Søren Frichs Vej / Viby Ringvej,Holcher,2 gange,ved busstop,,56.14645,10.15267
Vest,Søren Frichs Vej / Chr. Winthers Vej,Holcher,2 gange,ved busstop,,56.14869,10.16111
Vest,Anker Jensens Vej / Søren Frichs Vej,RM 30,2 gange,græsareal,ved bænk,56.14851,10.16103
Vest,Søren Frichs Vej 51,Holcher,2 gange,ved busstop,v/ Fragtmandscentralen,56.15067,10.16967
Vest,langs Lokesvej,RM 70,2 gange,græsareal - vest,v/ Haveforeningen Fritiden,56.14918,10.17154
